time,life-time,size,area,mass,radius
2606,9,20,20,811,5.0990195135927845
2607,16,29,29,812,5.830951894845301
2608,16,50,40,813,6.324555320336759
2611,26,91,91,812,12.165525060596439
2615,3,8,6,816,1.4142135623730951
2617,10,16,16,818,5.0990195135927845
2623,3,3,3,824,2.0
2625,13,26,26,826,5.385164807134504
2631,2,3,3,832,1.0
2632,18,48,40,833,9.848857801796104
2633,2,2,2,831,1.0
2634,2,2,2,830,1.0
2635,17,27,27,830,7.280109889280518
2636,6,10,10,826,4.123105625617661
2638,1,1,1,827,0.0
2642,16,43,41,830,6.082762530298219
2645,13,42,42,828,8.246211251235321
2652,12,29,29,835,6.4031242374328485
2653,2,2,2,836,1.0
2657,16,29,29,837,9.848857801796104
2658,20,130,48,833,8.06225774829855
2659,38,128,122,823,15.033296378372908
2660,4,5,5,821,2.23606797749979
2661,26,84,84,815,13.601470508735444
2663,1,1,1,816,0.0
2664,10,16,16,816,5.385164807134504
2666,3,3,3,818,2.0
2668,7,12,12,820,4.242640687119285
2669,6,8,8,821,2.23606797749979
2670,2,2,2,822,1.0
2672,26,95,95,823,11.40175425099138
2673,1,1,1,824,0.0
2676,15,63,63,822,8.602325267042627
2679,12,34,30,825,5.830951894845301
2681,44,329,173,819,15.524174696260024
2682,18,54,54,819,8.06225774829855
2686,8,17,17,819,3.605551275463989
2689,16,30,30,820,5.385164807134504
2690,13,43,25,809,5.830951894845301
2691,45,111,111,804,16.1245154965971
2695,16,46,46,808,10.198039027185569
2696,1,1,1,808,0.0
2697,3,3,3,807,1.4142135623730951
2698,18,37,37,808,9.219544457292887
2701,21,45,45,810,7.211102550927978
2704,5,5,5,810,1.4142135623730951
2705,2,3,3,811,1.0
2709,18,41,41,812,7.0710678118654755
2715,32,85,43,808,10.295630140987
2724,3,4,4,817,1.4142135623730951
2727,42,209,116,819,13.92838827718412
2728,1,1,1,820,0.0
2730,4,5,5,822,2.23606797749979
2731,10,17,17,822,5.656854249492381
2733,10,30,20,821,5.0
2735,3,5,5,821,1.4142135623730951
2736,1,1,1,822,0.0
2737,1,1,1,823,0.0
2739,18,39,39,825,9.848857801796104
2740,2,2,2,825,1.0
2741,21,80,50,823,12.649110640673518
2743,7,7,7,824,3.1622776601683795
2744,11,12,12,824,4.242640687119285
2745,12,24,24,825,4.123105625617661
2753,45,165,165,826,20.518284528683193
2760,53,137,137,832,20.518284528683193
2764,14,32,32,827,6.324555320336759
2765,2,2,2,828,1.0
2768,2,2,2,831,1.0
2769,10,22,22,830,5.385164807134504
2770,10,15,15,825,5.830951894845301
2774,4,7,7,829,2.23606797749979
2775,15,28,28,825,5.0990195135927845
2778,1,1,1,828,0.0
2782,1,1,1,832,0.0
2787,41,125,125,834,17.0
2790,16,39,39,833,8.48528137423857
2792,8,17,15,835,4.123105625617661
2793,3,3,3,833,2.0
2795,11,32,28,823,4.123105625617661
2796,43,134,134,812,15.0
2798,11,32,32,811,7.211102550927978
2799,11,28,28,809,5.830951894845301
2800,10,14,14,810,4.47213595499958
2802,1,1,1,811,0.0
2804,1,1,1,813,0.0
2806,2,2,2,815,1.0
2808,1,1,1,817,0.0
2812,21,63,63,820,9.486832980505138
2817,3,3,3,823,1.4142135623730951
2818,12,28,28,821,6.708203932499369
2819,4,7,7,820,2.23606797749979
2820,4,7,7,821,3.0
2821,6,10,10,818,4.123105625617661
2827,21,75,75,822,9.219544457292887
2828,2,2,2,822,1.0
2831,6,16,16,825,4.123105625617661
2835,2,2,2,829,1.0
2836,12,44,36,830,5.830951894845301
2841,35,298,120,827,14.422205101855956
2843,3,4,4,829,1.4142135623730951
2844,1,1,1,829,0.0
2847,15,49,49,826,6.708203932499369
2848,21,43,43,826,10.63014581273465
2851,4,4,4,829,3.0
2853,2,2,2,831,1.0
2857,2,2,2,833,1.0
2860,41,137,137,834,16.278820596099706
2861,3,3,3,835,1.4142135623730951
2862,29,78,74,834,10.0
2867,3,4,4,835,2.0
2871,3,3,3,839,1.4142135623730951
2873,6,7,7,841,2.23606797749979
2874,1,1,1,842,0.0
2876,1,1,1,842,0.0
2878,7,11,11,842,3.1622776601683795
2880,1,1,1,843,0.0
2882,6,14,10,845,2.23606797749979
2883,32,132,132,841,17.08800749063506
2893,1,1,1,851,0.0
2894,32,135,131,848,13.45362404707371
2895,3,4,4,849,1.4142135623730951
2898,16,76,76,852,9.433981132056603
2900,23,100,62,849,7.615773105863909
2901,6,13,13,847,4.123105625617661
2902,1,1,1,848,0.0
2903,2,2,2,849,1.0
2905,14,38,38,843,8.246211251235321
2906,3,3,3,844,2.0
2908,2,2,2,846,1.0
2909,57,533,104,821,14.212670403551895
2910,7,23,17,815,4.123105625617661
2912,18,49,45,817,6.082762530298219
2916,1,1,1,821,0.0
2920,40,201,104,820,12.36931687685298
2921,12,19,17,818,3.605551275463989
2931,6,7,7,825,3.1622776601683795
2935,19,40,40,829,6.708203932499369
2936,2,2,2,830,1.0
2938,4,7,7,832,2.23606797749979
2939,7,10,10,826,5.0990195135927845
2942,2,2,2,829,1.0
2945,38,101,89,828,7.810249675906654
2948,30,139,129,830,15.0
2952,3,7,7,831,2.0
2954,1,1,1,831,0.0
2956,7,14,14,830,3.605551275463989
2957,22,104,104,822,11.40175425099138
2961,12,41,41,826,7.615773105863909
2967,4,5,5,832,2.23606797749979
2968,2,2,2,833,1.0
2974,4,5,5,838,3.0
2978,9,13,13,842,4.123105625617661
2979,33,122,122,838,16.97056274847714
2981,3,4,4,838,1.4142135623730951
2982,12,30,20,833,4.123105625617661
2983,1,1,1,834,0.0
2985,1,1,1,835,0.0
2991,3,3,3,841,2.0
2992,20,31,31,841,10.198039027185569
2997,31,100,86,843,8.54400374531753
2998,22,49,49,841,10.816653826391969
2999,8,17,17,842,5.0
3003,3,3,3,846,1.4142135623730951
3008,29,115,115,848,16.0312195418814
3013,30,93,93,848,13.0
3014,2,2,2,849,1.0
3017,18,54,54,850,10.816653826391969
3020,13,48,48,840,7.810249675906654
3024,5,6,6,843,2.8284271247461903
3027,20,83,83,838,9.219544457292887
3030,1,1,1,841,0.0
3036,1,1,1,847,0.0
3040,6,14,14,846,3.605551275463989
3042,29,93,71,836,9.848857801796104
3045,2,2,2,839,1.0
3049,46,206,200,838,20.808652046684813
3053,3,4,4,840,1.4142135623730951
3054,21,41,41,836,7.0710678118654755
3057,36,302,152,827,14.866068747318506
3058,18,39,39,828,11.704699910719626
3059,31,138,138,818,14.142135623730951
3060,7,18,18,819,3.1622776601683795
3066,3,4,4,823,1.4142135623730951
3067,7,12,12,823,3.1622776601683795
3069,8,18,18,819,5.0
3072,37,134,134,818,13.416407864998739
3079,2,2,2,825,1.0
3082,2,2,2,827,1.0
3087,2,2,2,832,1.0
3088,1,1,1,831,0.0
3090,6,13,11,833,2.8284271247461903
3095,16,60,44,836,5.385164807134504
3096,2,2,2,837,1.0
3098,8,14,14,839,5.0990195135927845
3099,1,1,1,839,0.0
3103,1,1,1,843,0.0
3107,4,6,6,847,2.23606797749979
3108,4,4,4,848,1.4142135623730951
3109,2,2,2,847,1.0
3112,3,5,5,847,2.0
3113,1,1,1,848,0.0
3117,92,335,162,828,16.401219466856727
3118,1,1,1,828,0.0
3120,1,1,1,830,0.0
3122,26,55,55,832,8.54400374531753
3123,3,3,3,833,1.4142135623730951
3127,1,1,1,836,0.0
3128,25,53,47,833,10.44030650891055
3129,4,4,4,834,1.4142135623730951
3132,2,2,2,837,1.0
3133,39,167,102,831,10.44030650891055
3135,17,34,34,831,7.211102550927978
3139,14,25,15,832,4.47213595499958
3141,1,1,1,833,0.0
3142,1,1,1,834,0.0
3146,41,179,179,832,15.231546211727817
3149,11,15,13,835,4.47213595499958
3150,3,5,5,836,2.0
3151,3,3,3,833,2.0
3152,9,11,11,830,5.0
3154,28,130,124,827,14.866068747318506
3157,2,3,3,830,1.0
3158,17,30,30,830,7.211102550927978
3159,25,93,81,825,12.649110640673518
3161,4,6,6,827,1.4142135623730951
3164,5,15,13,824,3.1622776601683795
3166,17,37,37,826,5.830951894845301
3167,3,3,3,825,1.4142135623730951
3169,33,260,64,817,9.848857801796104
3171,6,8,8,819,2.23606797749979
3172,32,119,77,817,10.63014581273465
3173,16,77,73,817,8.06225774829855
3179,7,13,13,820,4.242640687119285
3182,2,2,2,823,1.0
3184,3,5,5,823,1.4142135623730951
3186,1,1,1,825,0.0
3187,38,171,80,825,11.180339887498949
3189,10,16,16,826,5.385164807134504
3190,5,9,9,827,3.1622776601683795
3191,20,49,49,828,10.44030650891055
3194,3,5,5,831,2.0
3197,5,5,5,834,3.1622776601683795
3199,18,97,97,830,8.54400374531753
3200,21,52,52,823,9.433981132056603
3201,21,53,39,824,9.219544457292887
3207,6,11,11,830,5.0
3212,4,4,4,832,2.23606797749979
3213,18,94,82,829,11.704699910719626
3219,9,11,11,833,5.385164807134504
3223,39,249,102,832,10.295630140987
3227,5,9,9,834,3.1622776601683795
3228,4,6,6,835,1.4142135623730951
3230,2,2,2,837,1.0
3231,6,13,13,833,3.605551275463989
3234,44,223,223,820,15.811388300841896
3236,9,11,9,822,3.0
3237,32,136,136,822,14.422205101855956
3238,1,1,1,823,0.0
3240,1,1,1,825,0.0
3242,1,1,1,827,0.0
3245,4,7,7,827,2.23606797749979
3246,4,5,5,828,2.23606797749979
3248,5,10,10,830,2.8284271247461903
3250,43,245,97,828,10.295630140987
3252,1,1,1,830,0.0
3254,7,11,11,832,3.605551275463989
3255,6,13,13,830,3.605551275463989
3257,24,63,63,827,14.866068747318506
3258,23,70,56,826,7.211102550927978
3259,2,2,2,827,1.0
3260,9,15,15,822,4.123105625617661
3261,16,32,32,818,5.0990195135927845
3271,22,106,60,820,6.708203932499369
3272,23,113,65,816,10.816653826391969
3276,2,2,2,820,1.0
3278,1,1,1,822,0.0
3279,5,10,10,822,3.1622776601683795
3282,33,94,90,823,14.866068747318506
3283,28,109,75,820,11.180339887498949
3284,9,17,17,821,5.0990195135927845
3291,29,80,64,817,8.06225774829855
3293,2,2,2,817,1.0
3294,2,2,2,818,1.0
3295,2,2,2,819,1.0
3297,16,21,21,817,5.385164807134504
3299,16,52,52,818,8.94427190999916
3302,1,1,1,820,0.0
3304,2,2,2,822,1.0
3306,1,1,1,824,0.0
3307,26,122,64,823,8.246211251235321
3308,1,1,1,824,0.0
3311,1,1,1,827,0.0
3312,7,8,8,828,2.8284271247461903
3317,20,68,68,823,8.0
3319,10,29,29,825,5.0990195135927845
3320,52,205,139,813,14.212670403551895
3329,4,7,7,822,1.4142135623730951
3333,22,40,40,822,11.180339887498949
3334,3,3,3,823,1.4142135623730951
3337,7,10,10,824,3.1622776601683795
3345,4,9,9,829,2.23606797749979
3346,3,4,4,830,1.4142135623730951
3347,5,5,5,831,2.23606797749979
3350,2,2,2,833,1.0
3351,33,141,139,834,15.231546211727817
3352,14,42,42,834,7.280109889280518
3355,1,1,1,837,0.0
3356,6,10,10,836,3.0
3357,7,11,11,837,3.1622776601683795
3358,4,5,5,837,2.23606797749979
3362,5,9,9,841,3.1622776601683795
3363,12,19,19,842,5.0
3364,1,1,1,841,0.0
3365,3,3,3,840,1.4142135623730951
3369,1,1,1,844,0.0
3370,9,21,21,840,3.605551275463989
3376,7,24,16,840,3.1622776601683795
3378,7,19,19,842,4.47213595499958
3379,16,43,43,843,7.615773105863909
3380,7,16,16,843,4.47213595499958
3381,33,99,99,840,10.63014581273465
3382,46,208,64,825,8.602325267042627
3384,6,10,10,821,4.123105625617661
3385,5,5,5,822,3.1622776601683795
3387,4,7,7,824,2.23606797749979
3391,1,1,1,827,0.0
3392,8,16,16,825,5.385164807134504
3393,9,21,21,826,5.0990195135927845
3398,13,52,52,826,8.54400374531753
3399,1,1,1,827,0.0
3402,1,1,1,830,0.0
3405,79,453,102,819,13.45362404707371
3407,4,5,5,820,2.23606797749979
3408,4,7,7,821,3.0
3409,21,46,46,822,7.211102550927978
3411,10,20,20,824,6.0
3415,14,32,32,826,6.4031242374328485
3416,1,1,1,826,0.0
3418,7,16,16,823,2.8284271247461903
3419,5,8,8,821,2.23606797749979
3422,22,48,48,823,10.0
3423,1,1,1,824,0.0
3427,1,1,1,828,0.0
3428,13,30,28,829,5.0990195135927845
3429,1,1,1,830,0.0
3431,12,26,26,832,6.4031242374328485
3432,10,27,27,826,5.0
3437,25,127,51,823,9.219544457292887
3438,6,10,10,824,3.1622776601683795
3439,12,26,26,819,5.0990195135927845
3440,21,81,79,819,10.198039027185569
3441,28,139,139,815,10.770329614269007
3446,33,204,130,811,17.4928556845359
3451,7,18,18,813,4.242640687119285
3453,1,1,1,814,0.0
3455,4,4,4,814,1.4142135623730951
3459,1,1,1,818,0.0
3461,17,43,41,820,5.0990195135927845
3462,31,86,78,821,13.45362404707371
3463,5,7,7,819,2.23606797749979
3464,2,2,2,820,1.0
3465,13,27,17,818,5.0
3466,1,1,1,819,0.0
3467,1,1,1,820,0.0
3472,6,15,11,824,4.123105625617661
3473,14,50,50,819,8.94427190999916
3476,2,2,2,822,1.0
3477,6,10,10,821,3.605551275463989
3480,25,135,73,819,11.180339887498949
3482,3,3,3,821,1.4142135623730951
3484,2,2,2,823,1.0
3488,11,28,28,822,6.4031242374328485
3489,1,1,1,822,0.0
3491,1,1,1,824,0.0
3494,4,8,8,823,2.23606797749979
3506,1,1,1,835,0.0
3507,63,305,131,825,16.492422502470642
3508,20,44,40,825,11.180339887498949
3510,21,60,24,820,7.280109889280518
3514,4,4,4,822,1.4142135623730951
3516,3,4,4,824,1.4142135623730951
3518,3,6,6,824,1.4142135623730951
3519,1,1,1,825,0.0
3520,41,142,142,824,19.209372712298546
3521,5,16,16,820,3.1622776601683795
3525,9,24,12,824,3.1622776601683795
3529,12,21,21,828,6.082762530298219
3530,7,8,8,829,2.8284271247461903
3532,6,6,6,831,4.123105625617661
3533,9,16,16,829,3.605551275463989
3534,29,139,93,826,14.035668847618199
3536,23,113,55,827,8.54400374531753
3537,3,3,3,828,2.0
3539,5,8,8,826,2.23606797749979
3540,2,2,2,827,1.0
3544,1,1,1,830,0.0
3547,11,14,14,829,5.830951894845301
3550,5,8,8,832,2.23606797749979
3553,2,2,2,835,1.0
3559,1,1,1,841,0.0
3560,1,1,1,840,0.0
3562,3,3,3,842,1.4142135623730951
3569,3,3,3,847,1.4142135623730951
3570,2,2,2,848,1.0
3571,10,12,12,845,4.123105625617661
3573,7,17,17,842,2.8284271247461903
3575,44,276,114,833,17.204650534085253
3579,2,2,2,837,1.0
3580,2,2,2,835,1.0
3581,70,404,122,815,16.492422502470642
3582,11,16,16,815,4.47213595499958
3584,1,1,1,816,0.0
3591,10,24,22,822,5.385164807134504
3593,9,13,13,823,4.47213595499958
3594,14,40,40,822,7.810249675906654
3597,9,23,19,821,3.605551275463989
3599,4,5,5,823,2.23606797749979
3601,1,1,1,825,0.0
3602,10,18,18,826,4.0
3603,1,1,1,827,0.0
3604,12,20,20,828,6.082762530298219
3606,1,1,1,830,0.0
3607,6,12,12,831,3.605551275463989
3609,2,2,2,833,1.0
3610,3,4,4,834,1.4142135623730951
3611,3,6,6,831,2.0
3612,1,1,1,831,0.0
3614,9,25,25,833,5.0
3619,6,17,13,838,3.1622776601683795
3622,1,1,1,840,0.0
3623,37,103,47,835,8.602325267042627
3624,2,2,2,836,1.0
3626,48,174,72,822,12.083045973594572
3629,7,16,16,822,4.47213595499958
3630,4,6,6,819,2.23606797749979
3631,10,14,14,816,4.242640687119285
3635,29,238,84,813,10.816653826391969
3637,5,7,7,815,3.1622776601683795
3640,28,97,93,812,10.04987562112089
3641,6,12,12,813,3.1622776601683795
3642,8,11,11,814,5.0
3643,3,3,3,815,1.4142135623730951
3645,25,147,68,812,10.816653826391969
3646,3,3,3,813,1.4142135623730951
3647,52,182,180,809,15.524174696260024
3650,1,1,1,811,0.0
3653,2,2,2,813,1.0
3654,3,3,3,814,2.0
3655,8,15,15,815,4.0
3656,1,1,1,816,0.0
3660,3,3,3,820,2.0
3661,7,13,13,821,3.605551275463989
3662,21,38,38,820,10.770329614269007
3665,2,2,2,823,1.0
3666,9,15,15,821,3.605551275463989
3670,12,16,16,824,5.0
3671,13,41,39,823,6.324555320336759
3673,46,242,114,817,13.601470508735444
3674,18,54,54,814,8.06225774829855
3677,7,10,10,814,5.0990195135927845
3679,1,1,1,816,0.0
3681,4,5,5,818,2.23606797749979
3682,4,5,5,819,1.4142135623730951
3687,23,71,71,818,11.180339887498949
3689,30,121,115,817,11.180339887498949
3690,1,1,1,817,0.0
3691,16,45,45,808,6.708203932499369
3693,5,9,9,807,2.8284271247461903
3697,1,1,1,811,0.0
3699,2,3,3,812,1.0
3702,3,3,3,811,2.0
3705,8,16,16,814,3.605551275463989
3706,6,10,10,814,4.123105625617661
3708,18,49,23,813,5.385164807134504
3710,32,65,65,812,8.602325267042627
3713,9,28,28,810,5.830951894845301
3715,1,1,1,811,0.0
3716,17,32,32,809,5.385164807134504
3717,3,4,4,810,1.4142135623730951
3719,14,22,22,812,5.0990195135927845
3721,3,3,3,814,1.4142135623730951
3722,2,2,2,815,1.0
3723,53,248,75,811,10.44030650891055
3726,4,9,7,812,2.23606797749979
3727,7,13,13,813,3.605551275463989
3728,1,1,1,814,0.0
3729,11,22,22,812,6.324555320336759
3731,12,16,16,811,5.0990195135927845
3732,1,1,1,812,0.0
3733,1,1,1,813,0.0
3734,1,1,1,814,0.0
3736,7,7,7,811,4.123105625617661
3741,7,16,16,816,4.123105625617661
3742,13,18,18,817,4.47213595499958
3744,20,53,53,817,8.246211251235321
3751,5,9,7,824,1.4142135623730951
3752,5,6,6,825,3.1622776601683795
3753,8,11,11,821,4.123105625617661
3754,8,15,15,819,5.0
3755,16,41,33,819,6.708203932499369
3760,1,1,1,824,0.0
3762,9,14,14,826,3.1622776601683795
3764,9,17,17,826,6.082762530298219
3765,29,69,69,823,13.038404810405298
3766,56,264,136,816,10.816653826391969
3767,34,129,105,811,12.36931687685298
3769,9,23,23,813,5.385164807134504
3772,5,11,11,816,2.23606797749979
3774,3,4,4,818,1.4142135623730951
3775,12,21,21,819,4.242640687119285
3776,13,25,15,820,3.605551275463989
3780,12,20,20,824,6.324555320336759
3781,8,14,14,825,2.8284271247461903
3786,5,9,9,830,3.1622776601683795
3792,1,1,1,836,0.0
3793,27,156,70,836,10.0
3795,2,2,2,838,1.0
3796,2,2,2,838,1.0
3800,12,27,27,838,7.211102550927978
3801,17,31,17,839,5.0
3803,31,94,94,841,10.63014581273465
3805,10,18,18,843,4.123105625617661
3806,12,31,23,841,4.242640687119285
3810,4,5,5,843,1.4142135623730951
3815,9,22,20,848,4.47213595499958
3818,1,1,1,850,0.0
3820,10,22,22,847,6.082762530298219
3823,1,1,1,849,0.0
3826,4,5,5,852,2.23606797749979
3828,19,90,37,849,7.810249675906654
3831,12,21,21,845,5.0
3835,3,5,5,849,2.0
3836,12,39,39,850,6.708203932499369
3837,29,58,54,851,8.602325267042627
3839,21,85,85,847,10.198039027185569
3840,41,284,108,831,11.704699910719626
3841,2,2,2,832,1.0
3843,1,1,1,834,0.0
3847,14,17,17,836,7.280109889280518
3849,14,22,20,832,3.605551275463989
3850,2,2,2,833,1.0
3852,2,2,2,835,1.0
3854,13,23,23,832,7.0710678118654755
3855,4,4,4,833,2.23606797749979
3857,1,1,1,835,0.0
3858,1,1,1,836,0.0
3863,50,206,198,827,14.866068747318506
3864,2,2,2,827,1.0
3867,1,1,1,829,0.0
3868,42,165,165,823,14.422205101855956
3869,33,100,96,823,10.816653826391969
3873,1,1,1,827,0.0
3875,17,74,54,828,8.246211251235321
3876,29,85,85,828,11.40175425099138
3878,24,64,64,830,11.180339887498949
3879,1,1,1,831,0.0
3880,5,10,10,830,2.23606797749979
3881,1,1,1,831,0.0
3883,1,1,1,833,0.0
3887,2,2,2,837,1.0
3889,11,17,17,839,4.242640687119285
3896,1,1,1,846,0.0
3897,1,1,1,847,0.0
3899,4,4,4,847,1.4142135623730951
3901,6,8,8,846,3.605551275463989
3902,8,16,14,841,4.123105625617661
3907,15,36,36,841,6.708203932499369
3910,37,256,68,828,11.40175425099138
3913,3,4,4,831,1.4142135623730951
3914,1,1,1,832,0.0
3915,1,1,1,833,0.0
3920,80,466,111,817,14.317821063276353
3927,3,3,3,824,1.4142135623730951
3931,14,70,44,826,9.433981132056603
3932,3,5,5,827,2.0
3934,20,60,60,824,12.041594578792296
3935,33,127,127,820,16.0312195418814
3936,6,12,12,818,3.605551275463989
3937,11,35,35,819,5.0
3938,12,24,24,818,4.123105625617661
3940,24,72,64,820,9.899494936611665
3945,3,4,4,825,2.0
3947,23,67,67,827,8.602325267042627
3948,3,3,3,826,1.4142135623730951
3949,1,1,1,827,0.0
3951,11,27,27,827,5.0990195135927845
3955,2,2,2,831,1.0
3956,4,10,10,830,2.23606797749979
3958,2,2,2,832,1.0
3961,7,13,11,831,3.1622776601683795
3963,1,1,1,833,0.0
3966,10,16,16,836,6.4031242374328485
3967,17,88,88,831,11.40175425099138
3975,24,84,80,837,9.219544457292887
3976,17,34,34,838,11.313708498984761
3977,30,137,103,824,15.297058540778355
3978,12,28,26,824,7.0710678118654755
3980,10,24,24,824,5.0990195135927845
3982,2,3,3,826,1.0
3983,60,190,128,818,13.601470508735444
3986,7,13,13,818,4.0
3987,4,5,5,819,2.23606797749979
3988,18,76,46,819,11.180339887498949
3992,33,75,75,818,8.94427190999916
3998,31,120,120,818,13.0
4000,1,1,1,819,0.0
4002,8,15,15,820,4.123105625617661
4008,5,11,11,822,2.8284271247461903
4009,8,11,11,823,3.1622776601683795
4010,19,53,51,820,8.602325267042627
4011,1,1,1,820,0.0
4019,1,1,1,827,0.0
4020,1,1,1,828,0.0
4021,39,109,79,820,9.219544457292887
4022,21,45,41,821,8.602325267042627
4025,2,2,2,824,1.0
4027,16,27,27,826,7.211102550927978
4029,10,24,24,828,5.830951894845301
4030,2,2,2,829,1.0
4031,5,10,10,827,2.23606797749979
4035,5,9,9,830,3.0
4038,2,3,3,831,1.0
4039,18,36,36,823,9.219544457292887
4043,3,4,4,827,2.0
4045,3,3,3,827,1.4142135623730951
4046,5,5,5,828,2.23606797749979
4047,33,153,129,818,17.204650534085253
4050,4,6,6,821,1.4142135623730951
4051,5,7,7,821,2.0
4053,36,173,61,822,11.180339887498949
4054,12,16,16,823,5.0990195135927845
4055,5,7,7,820,2.23606797749979
4056,3,3,3,821,1.4142135623730951
4059,8,13,13,824,5.385164807134504
4060,43,175,175,817,18.788294228055936
4064,1,1,1,821,0.0
4066,1,1,1,823,0.0
4067,7,11,11,820,2.8284271247461903
4069,2,2,2,819,1.0
4070,34,125,117,814,10.44030650891055
4072,14,34,24,815,4.242640687119285
4077,16,66,48,817,7.211102550927978
4078,28,64,64,813,10.63014581273465
4079,17,68,68,814,8.602325267042627
4082,17,83,35,817,7.615773105863909
4083,1,1,1,817,0.0
4084,2,2,2,818,1.0
4088,2,3,3,822,1.0
4091,1,1,1,825,0.0
4095,2,2,2,829,1.0
4097,11,24,24,826,5.0990195135927845
4098,21,44,44,820,8.94427190999916
4100,1,1,1,821,0.0
4103,3,3,3,821,2.0
4106,4,4,4,824,2.23606797749979
4108,40,196,196,822,17.46424919657298
4109,3,4,4,821,1.4142135623730951
4112,4,6,6,822,2.23606797749979
4113,33,153,89,823,10.0
4114,10,38,38,819,7.0710678118654755
4118,3,5,5,822,2.0
4119,2,2,2,823,1.0
4120,3,3,3,821,2.0
4124,19,76,68,823,7.615773105863909
4127,2,2,2,826,1.0
4128,17,39,39,826,5.385164807134504
4129,30,76,76,820,15.524174696260024
4132,1,1,1,823,0.0
4133,23,101,91,819,13.0
4138,11,24,24,824,7.615773105863909
4140,10,20,20,820,5.830951894845301
4141,29,128,128,811,15.231546211727817
4143,6,9,9,813,3.605551275463989
4144,3,4,4,811,1.4142135623730951
4147,1,1,1,814,0.0
4152,10,18,18,818,5.0
4158,37,182,115,820,13.152946437965905
4159,7,14,12,821,3.605551275463989
4161,3,3,3,823,1.4142135623730951
4164,19,37,37,826,6.708203932499369
4165,9,18,18,825,5.830951894845301
4167,18,60,60,825,9.848857801796104
4170,35,88,88,819,15.0
4173,4,4,4,821,3.0
4174,25,97,97,819,13.45362404707371
4176,4,6,6,818,2.23606797749979
4177,1,1,1,818,0.0
4178,2,2,2,819,1.0
4180,1,1,1,821,0.0
4183,5,11,11,822,2.23606797749979
4185,19,48,48,824,8.06225774829855
4188,1,1,1,826,0.0
4190,14,45,45,828,7.810249675906654
4191,7,10,10,828,4.0
4203,3,4,4,840,2.0
4205,1,1,1,842,0.0
4208,15,30,30,836,5.830951894845301
4211,25,131,93,828,13.601470508735444
4217,1,1,1,833,0.0
4220,13,78,34,836,6.4031242374328485
4223,58,388,141,817,15.811388300841896
4232,7,11,11,826,2.23606797749979
4234,4,5,5,828,2.23606797749979
4235,9,12,12,827,5.0
4237,2,2,2,828,1.0
4239,40,115,115,827,18.601075237738275
4241,2,3,3,828,1.0
4243,7,10,10,830,3.605551275463989
4244,12,23,23,827,6.082762530298219
4245,2,2,2,826,1.0
4246,5,5,5,825,2.23606797749979
4248,7,15,15,825,3.1622776601683795
4249,3,4,4,824,1.4142135623730951
4252,3,4,4,827,1.4142135623730951
4255,18,56,26,826,7.810249675906654
4256,45,415,95,811,17.4928556845359
4260,29,107,107,812,14.422205101855956
4262,14,24,24,810,8.246211251235321
4264,17,41,41,810,8.602325267042627
4265,2,2,2,809,1.0
4266,1,1,1,810,0.0
4277,10,16,12,818,2.23606797749979
4283,12,29,29,818,4.47213595499958
4284,5,13,13,819,3.1622776601683795
4288,3,3,3,823,1.4142135623730951
4292,1,1,1,826,0.0
4295,12,28,24,827,3.605551275463989
4297,10,14,14,829,7.0710678118654755
4298,1,1,1,829,0.0
4299,35,179,161,823,15.652475842498529
4301,21,68,68,825,10.198039027185569
4302,6,12,12,823,3.1622776601683795
4305,1,1,1,826,0.0
4306,33,132,132,825,16.97056274847714
4307,13,22,22,826,5.0990195135927845
4308,3,3,3,827,1.4142135623730951
4309,20,52,52,818,10.295630140987
4311,4,5,5,820,1.4142135623730951
4312,4,5,5,821,2.23606797749979
4314,7,10,10,822,4.0
4315,1,1,1,823,0.0
4316,20,34,34,823,9.219544457292887
4317,24,73,49,823,7.211102550927978
4318,1,1,1,823,0.0
4319,1,1,1,824,0.0
4323,33,100,94,821,12.649110640673518
4325,1,1,1,822,0.0
4327,8,18,18,821,5.385164807134504
4329,23,44,44,823,11.045361017187261
4331,1,1,1,825,0.0
4332,11,35,27,822,5.385164807134504
4334,28,72,54,819,6.708203932499369
4342,46,123,123,819,16.55294535724685
4345,15,57,51,811,8.48528137423857
4349,2,2,2,815,1.0
4350,35,166,132,808,14.866068747318506
4351,1,1,1,809,0.0
4353,16,51,51,811,6.082762530298219
4356,24,114,114,811,8.94427190999916
4358,1,1,1,813,0.0
4362,1,1,1,817,0.0
4363,5,8,8,818,2.23606797749979
4365,3,3,3,820,2.0
4368,3,3,3,823,1.4142135623730951
4370,1,1,1,825,0.0
4374,24,124,44,826,7.615773105863909
4376,27,75,75,821,15.297058540778355
4381,2,3,3,826,1.0
4382,2,2,2,825,1.0
4385,1,1,1,828,0.0
4390,2,2,2,833,1.0
4392,33,187,59,820,10.770329614269007
4393,11,26,26,819,5.0
4399,2,2,2,823,1.0
4401,16,34,34,821,7.280109889280518
4402,33,140,64,822,10.0
4404,7,9,9,819,4.123105625617661
4406,7,22,22,821,3.605551275463989
4407,40,137,137,814,13.92838827718412
4408,23,71,71,812,9.899494936611665
4411,10,19,19,815,4.47213595499958
4415,12,21,21,819,5.0
4416,9,16,16,820,5.385164807134504
4418,11,46,28,818,4.123105625617661
4421,23,66,66,812,8.06225774829855
4426,40,203,129,814,10.770329614269007
4429,4,8,8,814,2.23606797749979
