time,life-time,size,area,mass,radius
1101,9,15,15,825,4.123105625617661
1102,11,22,22,826,9.0
1105,6,7,7,828,2.23606797749979
1106,8,12,12,823,4.47213595499958
1107,1,1,1,823,0.0
1108,2,2,2,822,1.0
1109,20,84,42,820,9.433981132056603
1110,2,2,2,818,1.0
1111,1,1,1,819,0.0
1114,1,1,1,822,0.0
1115,1,1,1,823,0.0
1116,9,14,14,820,6.324555320336759
1123,17,65,65,819,9.055385138137417
1124,27,86,23,816,5.385164807134504
1126,3,5,5,818,1.4142135623730951
1127,5,10,10,819,3.1622776601683795
1128,38,172,172,812,21.400934559032695
1129,5,7,7,813,3.1622776601683795
1130,2,2,2,814,1.0
1132,5,6,6,816,2.23606797749979
1133,10,16,16,813,6.324555320336759
1134,8,15,15,814,4.123105625617661
1135,1,1,1,815,0.0
1137,35,115,91,815,12.041594578792296
1139,2,2,2,817,1.0
1140,11,15,15,817,7.0710678118654755
1141,5,11,11,818,2.23606797749979
1143,1,1,1,819,0.0
1145,21,72,72,817,10.0
1152,1,1,1,823,0.0
1153,1,1,1,823,0.0
1156,2,2,2,824,1.0
1157,6,10,10,825,3.0
1159,4,6,6,827,2.23606797749979
1160,9,11,11,827,3.1622776601683795
1166,8,12,12,831,3.1622776601683795
1169,1,1,1,834,0.0
1170,5,7,7,831,2.8284271247461903
1173,42,203,155,823,15.264337522473747
1174,27,91,39,820,9.219544457292887
1175,27,83,83,821,13.0
1176,7,18,18,822,4.123105625617661
1178,15,32,32,817,6.4031242374328485
1179,3,6,6,817,2.0
1181,9,20,18,819,3.1622776601683795
1182,3,3,3,820,1.4142135623730951
1184,21,73,43,819,7.280109889280518
1186,1,1,1,821,0.0
1189,15,49,41,821,6.082762530298219
1190,1,1,1,821,0.0
1191,2,2,2,822,1.0
1192,52,142,130,818,12.806248474865697
1193,5,8,8,819,3.1622776601683795
1194,23,46,46,820,11.661903789690601
1195,4,5,5,821,2.23606797749979
1198,2,2,2,822,1.0
1199,3,3,3,823,1.4142135623730951
1201,3,4,4,825,1.4142135623730951
